,SMD01,SMD02,SMD03,SMD04,SMD05,SMD06,SMD07,SMD08,SMD09,SMD10,SMD11,SMD12,SMD13,SMD14,SMD15,SMD16,SMD17,SMD18
1960,0.873786459,1.196346701,0.893069441,0.793857783,0.72565464,0.674291572,0.938818089,1.021219881,1.05808287,1.246043879,0.946361116,1.131746515,0.682807677,1.22940348,0.664836726,1.213016069,0.946010958,0.991026362
1961,0.837854642,0.883606403,0.745866235,0.724713936,0.815844164,0.685885789,1.052051968,0.905441937,0.813960647,0.946784213,1.102511635,0.910486822,0.57444656,0.975325657,0.825780153,0.752678785,0.801236065,0.771821004
1962,0.840417848,0.724329388,0.701481254,0.531382553,0.5678437,0.577438522,0.687771344,0.70832348,0.747282967,1.020242447,1.718722004,1.229999531,0.448003124,0.832598126,0.668819633,0.724530493,0.858316592,0.805835393
1963,0.871222832,1.045844823,0.954302017,0.864677729,0.874893279,0.809582526,0.836554751,0.761698681,1.059587343,1.34597089,1.912278089,1.517026593,0.517971758,1.12949019,0.821063983,0.967512133,1.067720195,1.002027109
1964,0.865286364,0.951083064,0.809483481,0.759800106,0.846966455,0.635239695,0.633221088,0.578705191,0.894977781,1.440906253,1.683574552,1.343252637,0.361288464,0.94800708,0.835950042,0.908070714,0.901795354,0.925625889
1965,0.897010455,0.91873482,0.977527093,1.011151683,1.012861229,0.97620025,1.187438003,0.826603053,1.197856499,1.233865422,2.047873994,1.668090036,0.427418428,0.987455124,0.862690327,0.816823275,0.975704539,0.751301199
1966,0.633339745,0.797321971,0.822191898,0.946654181,1.108075533,0.86706854,1.224854804,0.669369919,1.074306809,0.773035663,1.831924831,1.669805178,0.377688148,0.784356967,0.849397943,0.530494325,0.871006438,0.640252452
1967,0.936460749,0.95412523,1.019433696,1.316373645,1.138195914,1.151720973,1.442352949,1.088520652,1.340233142,1.128301953,1.718590496,1.735381242,0.719818906,1.096935964,1.186782707,1.060023778,1.121213993,0.884376076
1968,0.501498584,0.756576417,0.955504364,0.777780436,0.900910791,1.03710727,1.320993442,1.178571661,0.950060477,0.904466398,1.546011443,0.996968779,0.536486581,0.777780157,1.055419138,0.506275641,0.673145835,0.763009473
1969,0.621063505,0.858206993,1.168110152,1.161768758,1.054073057,1.345761885,1.540491503,0.981853667,1.338367377,1.034666065,1.555825232,1.466761497,0.751014015,0.942334599,1.204458345,0.937036072,0.811675036,0.863608745
1970,0.794463147,0.993160951,0.911354367,1.225794442,1.017956479,1.259052151,1.39984209,0.975563321,1.14430723,1.174858316,1.328956103,1.339767312,0.794199279,1.029623229,0.846215677,0.958937615,0.714173368,0.790603035
1971,0.668534982,1.334924469,0.991117853,0.819433583,1.034212208,1.60209759,1.383623763,1.323246642,1.428396268,1.300022275,1.082415518,1.110099605,0.902387568,1.140030294,1.087235362,0.85282875,1.001777222,1.11938606
1972,0.771106713,1.265080636,0.848994216,1.025876633,0.935806583,1.566922809,1.386632784,1.096535309,1.213563828,1.285402312,1.038046159,1.062541704,1.063152745,1.465960022,0.917173612,1.120552133,1.035402478,1.004837324
